Random/Known,max_iterations,tabu_size,num_cities,coordinates,execution_time,memory_used,best_route,best_distance
Known,10,10,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0035502910614013,86.2734375,[7 2 4 6 9 0 5 1 3 8],274.65159636676145
Known,100,10,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0281472206115722,95.53515625,[8 7 2 4 6 9 0 5 1 3],274.6515963667615
Known,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.00299072265625,97.57421875,[0 9 6 4 2 7 8 3 1 5],274.65159636676145
Known,100,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0321455001831054,100.86328125,[7 2 4 6 9 0 5 1 3 8],274.65159636676145
Known,10,10,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0029864311218261,86.7734375,[9 6 4 2 7 8 3 1 5 0],274.65159636676145
Known,100,10,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0318562984466552,94.20703125,[6 4 2 7 8 3 1 5 0 9],274.6515963667615
Known,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0039894580841064,94.31640625,[5 1 3 8 7 2 4 6 9 0],274.6515963667615
Known,100,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0372669696807861,96.6171875,[3 1 5 0 9 6 4 2 7 8],274.6515963667615
Known,10,10,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.002389669418334961,86.9609375,[8 7 2 4 6 9 0 5 1 3],274.6515963667615
Known,100,10,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.030979156494140625,94.36328125,[4 6 9 0 5 1 3 8 7 2],274.65159636676145
Known,1000,10,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2987828254699707,95.3125,[0 5 1 3 8 7 2 4 6 9],274.6515963667615
Known,5000,10,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",1.5293238162994385,97.15625,[1 5 0 9 6 4 2 7 8 3],274.6515963667615
Known,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.004499673843383789,99.15625,[4 6 9 0 5 1 3 8 7 2],274.65159636676145
Known,100,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.03250408172607422,99.23046875,[6 4 2 7 8 3 1 5 0 9],274.6515963667615
Known,1000,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.36382102966308594,101.49609375,[5 0 9 6 4 2 7 8 3 1],274.65159636676145
Known,5000,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",1.7397816181182861,103.53515625,[6 9 0 5 1 3 8 7 2 4],274.65159636676145
Known,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.002985239028930664,105.67578125,[9 6 4 2 7 8 3 1 5 0],274.65159636676145
Known,100,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.03705739974975586,106.1484375,[5 0 9 6 4 2 7 8 3 1],274.65159636676145
Known,1000,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.3787870407104492,107.9765625,[8 7 2 4 6 9 0 5 1 3],274.6515963667615
Known,5000,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",1.8952889442443848,110.21484375,[9 6 4 2 7 8 3 1 5 0],274.65159636676145
Known,10,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0030035972595214844,110.2734375,[8 3 1 5 0 9 6 4 2 7],274.6515963667615
Known,100,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.03329634666442871,112.4296875,[8 7 2 4 6 9 0 5 1 3],274.6515963667615
Known,1000,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.4886016845703125,116.50390625,[5 0 9 6 4 2 7 8 3 1],274.65159636676145
Known,5000,200,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",2.403820276260376,115.6796875,[9 0 5 1 3 8 7 2 4 6],274.65159636676145
Known,10,10,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.02280116081237793,117.89453125,[ 3  8 11  2  7 16 18 10  5  0  9 17 14  4  6 15 19 12 13  1],466.9090996358368
Known,100,10,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.22788119316101074,105.5859375,[ 2 14 17  9 19 12  0 10  5 18 16 13  1  3  7  8 15  6  4 11],373.75188772784287
Known,1000,10,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",2.258049964904785,106.83984375,[15  8 19 12  0 10  5 18 16 13  1  3  7  2 17 14 11  4  6  9],358.878595050389
