Random/Known,max_iterations,tabu_size,num_cities,coordinates,execution_time,memory_used,best_route,best_distance
Known,10,20,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0024971961975097,85.6015625,[6 9 0 5 1 7 3 8 2 4],293.6311405374696
Known,100,20,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0310120582580566,93.4921875,[6 4 2 7 8 3 1 5 0 9],274.6515963667615
Known,1000,20,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.3056716918945312,95.92578125,[9 0 5 1 3 8 7 2 4 6],274.65159636676145
Known,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0029914379119873,97.97265625,[1 5 0 9 6 4 2 7 8 3],274.6515963667615
Known,100,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0334854125976562,100.37890625,[9 0 5 1 3 8 7 2 4 6],274.65159636676145
Known,1000,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.3324315547943115,102.5546875,[9 6 4 2 7 8 3 1 5 0],274.65159636676145
Known,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0034935474395751,104.87890625,[5 1 3 8 7 2 4 6 9 0],274.6515963667615
Known,100,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0329551696777343,107.17578125,[6 4 2 7 8 3 1 5 0 9],274.6515963667615
Known,1000,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.3979306221008301,109.40625,[1 5 0 9 6 4 2 7 8 3],274.6515963667615
Known,10,20,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0221807956695556,86.9453125,[ 3  8 15  0 10  5 18 13  1 16 12 19  9 17 14  2 11  4  6  7],422.7605239280215
Known,100,20,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.2295727729797363,95.05859375,[ 3 19 12  0 10  5 18 16 13  1  7  2 17 14 11  4  6  9 15  8],373.0284399137456
Known,1000,20,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",2.209832668304444,97.75390625,[12 16  3  8 11 14 17  2  7  1 13 18  5 10  0  9  4  6 15 19],420.3407145813519
Known,10,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0219027996063232,100.37109375,[ 3 15 12  0 10  5 18 13  1 16 19  9 11  6  4 17 14  2  8  7],438.951300662823
Known,100,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.2261159420013427,102.9921875,[19 12 16  3  8 11 14 17  2  7  1 13 18  5 10  0  9  4  6 15],420.3407145813519
Known,1000,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",2.588137626647949,105.59375,[15 19 12  0 10  5 18 16 13  1  3  8  7  2 17 14 11  4  6  9],345.17319132744456
Known,10,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0212421417236328,108.44140625,[ 5 18 16 12 13  1  3  7  8 11 14  2 17  4  9  6 15 19  0 10],423.3268609426808
Known,100,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.2409279346466064,111.13671875,[18  5 10  0 12 19 15  9  6  4 11 14 17  2  7  8  3  1 13 16],345.1731913274446
Known,1000,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",2.8826379776000977,113.66015625,[14 17  2  7  1 13 16 18  5 10  0 12 19  3  8 15  9  6  4 11],373.0284399137456
Known,10,20,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.3210256099700928,87.046875,"[49 21 27  0 42 14  2 17 36 47  6 34 15 43 19  5 24 26 41 40 11  4 23 38
 29 46 12 39 22  7 20 33 30 35 25 32  8  9 13 18 16 44 10  1 28 37 48  3
 45 31]",1367.633472669923
Known,100,20,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",3.270812749862671,95.91015625,"[45 16 18 38  5 27  0 15 11 30 35 34 48 29 46 24  1  3 25  7 32 33 43  2
 40 14 17 36 47 21 49 42 31  9  4  6 23  8 37 28 22 20 41 26 13 10 44 12
 19 39]",851.8634307281035
Known,1000,20,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",32.482728004455566,99.84375,"[33 43 35 23  6  4 14 17 36  9 47 31 42 49 21 27  0 12 19  2 40 30 11 15
 18 38  5 10 44 16 26 41  1 13 29 46 24 37 28 22 32 25 34 48  8 39 45  3
 20  7]",792.0585840474089
Known,10,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.3330349922180176,103.5390625,"[ 7 41  3 39 19 15 42  9 47 31 44 24 46 27 10 45 25 34 11 23  8 16 13  4
 30 38 18 29  5 12 14 17 49  0 21 36 40  2 43 48 26 28 37  1 20 22 32  6
 35 33]",1347.2070073397024
Known,100,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",3.456489324569702,107.16015625,"[23 15  0 27 21 49 42 19 45 26  1 37 28 24 38  5 10 44 12 39  8 48 34 43
 40 14 17  2  3 16 18 46 29 13 41 20 22 32 33  7 25 35 30 11  4 36  9 47
 31  6]",792.918805685628
Known,1000,50,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",35.54471468925476,110.6796875,"[11 48  8  3 41 25 34 35 43 40  2 33  7 32 20 22 28 37  1 26 45 39 19 15
 31 42 12 16 18 13 24 29 46 38  5 10 44 27  0 49 21 47  9 23  6  4 36 17
 14 30]",720.8606211649716
Known,10,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",0.3224148750305176,114.41015625,"[38 18 48  3 32 40  4 31 27  0 46  1 23 19 16 12 42 15 34 39 45  7 33 25
 13 29 24  8 30 11  2 44 10  5 49 35  6 43 14 17 36  9 47 21 22 28 20 41
 26 37]",1456.8539331776017
Known,100,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",3.5497028827667236,118.3984375,"[22 32 20 41  3 49 21 42 31 15 48  7 33 35  6  9 47 36  4 11 30 40 43 34
  8 16 18 44 27  0 12 19 39 45 13 24 29 46 38  5 10 23 17 14  2 25 26  1
 37 28]",914.4952738885873
Known,1000,100,50,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60), (31, 24), (90, 89), (15, 17), (71, 43), (8, 77), (46, 23), (20, 53), (61, 98), (2, 47), (16, 79), (74, 21), (85, 67), (33, 11), (40, 14), (56, 30), (67, 26), (98, 37), (9, 49), (28, 97), (49, 54), (70, 11), (24, 40), (87, 72), (63, 15), (45, 88), (33, 49), (13, 84), (98, 67), (52, 35), (80, 81)]",36.58648133277893,121.87109375,"[48  8 45 41 26 13 24 38  5 10 44 27  0 12 39  3 20  7 33 43  2 40 30 11
 35 34 25 32 22 28 37  1 49 21 47 36 17 14  4  6 15 19 16 29 46 18 42 31
  9 23]",846.6863189872054
