Random/Known,max_iterations,min_tabu_size,max_tabu_size,num_cities,coordinates,execution_time,memory_used,best_route,best_distance
Known,10,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.002507209777832,85.77734375,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,100,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0189728736877441,93.67578125,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,1000,10,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.1955711841583252,95.99609375,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,10,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019938945770263,98.4296875,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,100,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.019974946975708,100.6796875,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,1000,10,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2259433269500732,103.04296875,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,10,10,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019934177398681,105.21484375,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,100,10,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0198028087615966,107.51171875,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,1000,10,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2584919929504394,109.765625,"[5, 0, 9, 6, 4, 2, 7, 8, 3, 1]",274.65159636676145
Known,10,20,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019941329956054,112.109375,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,100,20,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0189771652221679,114.375,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,1000,20,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.1957459449768066,116.73046875,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,10,20,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019941329956054,118.93359375,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,100,20,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0201036930084228,121.28515625,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,1000,20,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2261180877685547,123.5078125,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,10,20,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.00099778175354,125.875,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,100,20,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0190992355346679,128.02734375,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,1000,20,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2562348842620849,130.45703125,"[5, 0, 9, 6, 4, 2, 7, 8, 3, 1]",274.65159636676145
Known,10,30,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0019929409027099,132.72265625,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,100,30,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0186078548431396,134.95703125,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,1000,30,50,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.206010103225708,137.265625,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,10,30,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0009927749633789,139.44921875,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,100,30,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.0202620029449462,141.9453125,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,1000,30,100,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2326555252075195,144.16015625,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,10,30,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.001986026763916,146.375,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,100,30,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.02097749710083,148.67578125,"[0, 5, 1, 3, 8, 7, 2, 4, 6, 9]",274.6515963667615
Known,1000,30,150,10,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57)]",0.2581307888031006,151.078125,"[5, 0, 9, 6, 4, 2, 7, 8, 3, 1]",274.65159636676145
Known,10,10,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0131275653839111,87.36328125,"[12, 19, 15, 9, 6, 4, 11, 14, 17, 2, 7, 3, 8, 0, 10, 5, 18, 13, 1, 16]",388.53630174592
Known,100,10,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.135812759399414,95.1328125,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,1000,10,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",1.4164602756500244,97.8671875,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,10,10,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0123801231384277,100.45703125,"[12, 19, 15, 9, 6, 4, 11, 14, 17, 2, 7, 3, 8, 0, 10, 5, 18, 13, 1, 16]",388.53630174592
Known,100,10,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.1408712863922119,103.07421875,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,1000,10,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",1.5709943771362305,105.8203125,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,10,10,150,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0129780769348144,108.52734375,"[12, 19, 15, 9, 6, 4, 11, 14, 17, 2, 7, 3, 8, 0, 10, 5, 18, 13, 1, 16]",388.53630174592
Known,100,10,150,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.1390707492828369,111.203125,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,1000,10,150,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",1.6788525581359863,113.7421875,"[3, 8, 7, 2, 17, 14, 11, 4, 6, 9, 15, 19, 12, 0, 10, 5, 18, 16, 13, 1]",345.17319132744467
Known,10,20,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0123205184936523,116.44140625,"[12, 19, 15, 9, 6, 4, 11, 14, 17, 2, 7, 3, 8, 0, 10, 5, 18, 13, 1, 16]",388.53630174592
Known,100,20,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.136383056640625,119.0234375,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,1000,20,50,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",1.426520824432373,121.7421875,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,10,20,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0130016803741455,124.34375,"[12, 19, 15, 9, 6, 4, 11, 14, 17, 2, 7, 3, 8, 0, 10, 5, 18, 13, 1, 16]",388.53630174592
Known,100,20,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.139918565750122,127.1015625,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,1000,20,100,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",1.5753467082977295,129.640625,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,10,20,150,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.0139925479888916,132.34765625,"[12, 19, 15, 9, 6, 4, 11, 14, 17, 2, 7, 3, 8, 0, 10, 5, 18, 13, 1, 16]",388.53630174592
Known,100,20,150,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",0.1398317813873291,135.0703125,"[3, 8, 15, 9, 6, 4, 11, 14, 17, 2, 7, 19, 12, 0, 10, 5, 18, 16, 13, 1]",374.90140735296814
Known,1000,20,150,20,"[(60, 87), (13, 53), (66, 5), (38, 39), (79, 33), (38, 95), (73, 40), (39, 18), (51, 39), (90, 57), (42, 88), (76, 24), (55, 72), (19, 65), (81, 10), (64, 51), (33, 73), (94, 3), (27, 82), (59, 60)]",1.7247331142425537,137.734375,"[3, 8, 7, 2, 17, 14, 11, 4, 6, 9, 15, 19, 12, 0, 10, 5, 18, 16, 13, 1]",345.17319132744467
