max_iterations,min_tabu_size,max_tabu_size,num_cities,execution_time,memory_used,best_distance
10,10,50,10,0.0,86.1,274.65
100,10,50,10,0.02,94.07,274.65
500,10,50,10,0.1,96.36,274.65
1000,10,50,10,0.21,98.74,274.65
3000,10,50,10,0.62,100.89,274.65
10,10,100,10,0.0,103.28,274.65
100,10,100,10,0.02,105.44,274.65
500,10,100,10,0.12,107.88,274.65
1000,10,100,10,0.24,110.02,274.65
3000,10,100,10,0.73,112.39,274.65
10,10,150,10,0.0,114.61,274.65
100,10,150,10,0.02,117.01,274.65
500,10,150,10,0.13,119.2,274.65
1000,10,150,10,0.27,121.54,274.65
3000,10,150,10,0.83,123.81,274.65
10,10,200,10,0.0,125.94,274.65
100,10,200,10,0.03,128.28,274.65
500,10,200,10,0.14,130.66,274.65
1000,10,200,10,0.3,132.96,274.65
3000,10,200,10,0.93,135.19,274.65
10,10,300,10,0.0,137.46,274.65
100,10,300,10,0.02,139.66,274.65
500,10,300,10,0.16,141.97,274.65
1000,10,300,10,0.35,144.49,274.65
3000,10,300,10,1.11,146.91,274.65
10,20,50,10,0.0,149.0,274.65
100,20,50,10,0.02,151.18,274.65
500,20,50,10,0.1,153.42,274.65
1000,20,50,10,0.21,155.6,274.65
3000,20,50,10,0.63,157.92,274.65
10,20,100,10,0.0,160.26,274.65
100,20,100,10,0.02,162.54,274.65
500,20,100,10,0.12,164.86,274.65
1000,20,100,10,0.24,166.96,274.65
3000,20,100,10,0.74,169.23,274.65
10,20,150,10,0.0,171.38,274.65
100,20,150,10,0.02,173.75,274.65
500,20,150,10,0.13,175.98,274.65
1000,20,150,10,0.27,178.33,274.65
3000,20,150,10,0.86,180.7,274.65
10,20,200,10,0.0,183.03,274.65
100,20,200,10,0.02,185.14,274.65
500,20,200,10,0.14,187.46,274.65
1000,20,200,10,0.3,189.72,274.65
3000,20,200,10,0.92,192.04,274.65
10,20,300,10,0.0,194.38,274.65
100,20,300,10,0.02,196.59,274.65
500,20,300,10,0.16,198.88,274.65
1000,20,300,10,0.35,201.42,274.65
3000,20,300,10,1.11,203.76,274.65
10,30,50,10,0.0,206.13,274.65
100,30,50,10,0.02,208.33,274.65
500,30,50,10,0.1,210.57,274.65
1000,30,50,10,0.21,212.82,274.65
3000,30,50,10,0.63,215.14,274.65
10,30,100,10,0.0,217.31,274.65
100,30,100,10,0.02,219.56,274.65
500,30,100,10,0.12,221.85,274.65
1000,30,100,10,0.24,224.11,274.65
3000,30,100,10,0.73,226.4,274.65
10,30,150,10,0.0,228.73,274.65
100,30,150,10,0.02,231.01,274.65
500,30,150,10,0.13,233.29,274.65
1000,30,150,10,0.27,235.62,274.65
3000,30,150,10,0.82,237.9,274.65
10,30,200,10,0.0,240.12,274.65
100,30,200,10,0.02,242.36,274.65
500,30,200,10,0.16,244.63,274.65
1000,30,200,10,0.3,246.92,274.65
3000,30,200,10,0.92,249.34,274.65
10,30,300,10,0.0,251.69,274.65
100,30,300,10,0.02,253.99,274.65
500,30,300,10,0.16,256.46,274.65
1000,30,300,10,0.35,258.73,274.65
3000,30,300,10,1.11,261.0,274.65
10,50,50,10,0.0,263.05,274.65
100,50,50,10,0.02,265.38,274.65
500,50,50,10,0.1,267.65,274.65
1000,50,50,10,0.21,269.88,274.65
3000,50,50,10,0.62,272.26,274.65
10,50,100,10,0.0,274.53,274.65
100,50,100,10,0.02,276.77,274.65
500,50,100,10,0.12,279.02,274.65
1000,50,100,10,0.24,281.23,274.65
3000,50,100,10,0.73,283.52,274.65
10,50,150,10,0.0,285.82,274.65
100,50,150,10,0.02,288.31,274.65
500,50,150,10,0.13,290.5,274.65
1000,50,150,10,0.27,292.75,274.65
3000,50,150,10,0.83,295.18,274.65
10,50,200,10,0.0,297.47,274.65
100,50,200,10,0.02,299.69,274.65
500,50,200,10,0.14,301.98,274.65
1000,50,200,10,0.3,304.2,274.65
3000,50,200,10,0.92,306.67,274.65
10,50,300,10,0.0,308.64,274.65
100,50,300,10,0.02,311.0,274.65
500,50,300,10,0.16,313.27,274.65
1000,50,300,10,0.35,315.55,274.65
3000,50,300,10,1.13,317.83,274.65
10,100,50,10,0.0,320.1,274.65
100,100,50,10,0.02,322.32,274.65
500,100,50,10,0.1,324.6,274.65
1000,100,50,10,0.21,327.05,274.65
3000,100,50,10,0.62,329.39,274.65
10,100,100,10,0.0,331.59,274.65
100,100,100,10,0.02,333.87,274.65
500,100,100,10,0.12,336.1,274.65
1000,100,100,10,0.24,338.34,274.65
3000,100,100,10,0.72,340.77,274.65
10,100,150,10,0.0,343.08,274.65
100,100,150,10,0.02,345.43,274.65
500,100,150,10,0.13,347.65,274.65
